X1,X2,X3,Y
5.4,64,3.03,16124
5.1,64,3.03,16258
4.9,64,3.03,16327
4.7,66,3.03,16177
4.4,65,3.03,16471
4.1,66,3.03,16363
3.9,66,3.03,16483
3.8,66,3.03,16522
3.6,67,3.03,16504
3.8,67,3.03,16313
4.4,65,3.03,16554
5.0,63,3.03,16634
6.0,64,3.03,16014
6.7,63,3.03,15898
7.5,62,3.03,15862
7.9,60,3.03,16192
8.0,60,3.03,16178
7.9,62,3.03,15615
7.8,62,3.03,15594
7.5,63,3.03,15398
7.1,66,3.03,14867
7.0,66,3.03,14868
6.6,66,3.03,15070
6.2,66,3.03,15327
6.0,66,3.03,15414
5.8,68,3.03,15032
5.5,68,3.03,15349
5.2,68,3.03,15454
5.1,68,3.03,15362
4.9,69,3.03,15269
4.6,70,3.03,15264
4.4,71,3.03,15169
4.2,70,3.03,15336
4.4,70,3.03,15342
4.8,69,3.03,15286
5.6,68,3.03,15197
6.8,66,3.03,15127
7.3,62,3.03,15897
8.0,59,3.03,16242
9.0,57,3.03,16484
9.8,54,3.03,17002
8.6,57,3.03,16560
8.5,56,3.03,17153
8.2,55,3.03,17335
7.6,56,3.03,17382
7.2,57,3.03,17379
7.0,58,3.03,17185
6.4,59,3.03,17105
6.0,60,3.03,17164
5.7,60,3.03,17193
5.4,60,3.03,17208
5.3,61,3.03,17147
5.2,61,3.03,17174
4.9,61,3.03,17235
4.7,61,3.03,17439
4.4,62,3.03,17430
4.3,62,3.03,17446
4.4,62,3.03,17196
4.9,61,3.03,17304
5.7,60,3.03,17245
6.6,58,3.03,17192
7.5,57,3.03,17044
8.2,56,3.03,17197
8.6,54,3.03,17317
8.7,55,3.03,17058
8.5,57,3.03,16633
8.2,56,3.03,16912
7.9,56,3.03,17084
7.6,58,3.03,16914
7.3,58,3.03,16922
7.1,59,3.03,16761
6.7,60,3.03,16731
6.5,60,3.03,16882
6.3,59,3.03,17060
6.0,60,3.03,17050
5.8,60,3.03,17150
5.6,60,3.03,17082
5.4,62,3.03,16938
5.3,62,3.03,16815
5.1,62,3.03,16814
5.0,63,3.03,16728
5.2,62,3.03,16800
5.7,61,3.03,16786
6.7,60,3.03,16785
8.0,58,3.03,16618
8.8,57,3.03,16594
9.1,56,3.03,16546
9.0,57,3.03,16442
8.9,58,3.03,16286
8.9,58,3.03,16290
8.5,60,3.03,15748
8.3,62,3.03,15467
8.1,62,3.03,15456
8.0,62,3.03,15422
8.0,62,3.03,15479
7.9,62,3.03,15539
7.9,62,3.03,15533
7.8,62,3.03,15692
7.8,62,3.03,15526
7.7,62,3.03,15545
7.7,63,3.03,15555
7.6,63,3.03,15444
7.5,63,3.03,15419
7.3,63,3.03,15425
7.3,64,3.03,15368
7.3,64,3.03,15366
7.8,62,3.03,15616
8.5,60,3.03,15918
9.5,58,3.03,15892
10.4,58,3.03,15620
10.7,58,3.03,15427
10.7,56,3.03,16157
10.5,57,3.03,15787
10.2,59,3.03,15451
9.8,60,3.03,15426
9.4,59,3.03,15629
9.1,60,3.03,15683
8.7,60,3.03,15700
8.5,59,3.03,16042
8.3,59,3.03,16113
8.2,59,3.03,16096
8.2,59,3.03,16136
8.1,60,3.03,16056
8.0,60,3.03,15976
7.8,62,3.03,15607
7.6,63,3.03,15508
7.6,63,3.03,15586
7.3,64,3.03,15530
7.1,63,3.03,15636
7.2,64,3.03,15561
7.6,62,3.03,15679
8.3,61,3.03,15624
9.1,60,3.03,15570
9.9,59,3.03,15343
10.5,59,3.03,15290
10.5,59,3.03,15176
10.4,60,3.03,15139
10.2,62,3.03,14634
9.8,62,3.03,14669
9.4,62,3.03,14856
9.0,64,3.03,14703
8.5,64,3.03,14750
8.2,64,3.03,14977
8.0,64,3.03,15126
7.9,64,3.03,15265
7.4,64,3.03,15348
7.1,64,3.03,15330
6.7,64,3.03,15695
6.4,64,3.03,15748
6.2,65,3.03,15634
6.0,66,3.03,15550
5.8,66,3.03,15514
5.5,67,3.03,15529
5.6,66,3.03,15592
6.1,64,3.03,15924
6.9,62,3.03,16148
7.9,61,3.03,15922
8.9,58,3.03,16271
10.1,54,3.03,17085
10.9,50,3.03,17864
10.4,50,3.03,17733
9.4,52,3.03,17973
8.9,52,3.03,18214
8.2,53,3.03,18020
7.7,55,3.03,17606
7.5,58,3.03,17070
7.1,58,3.03,17050
6.9,58,3.03,17220
6.6,58,3.03,17322
6.3,60,3.03,17020
6.0,59,3.03,17200
5.9,59,3.03,17239
5.6,60,3.03,17182
5.3,61,3.03,17068
5.0,61,3.03,17298
4.8,61,3.03,17395
4.7,61,3.03,17414
4.8,60,3.03,17453
5.3,60,3.03,17503
6.0,58,3.03,17467
6.7,60,3.03,16678
7.7,59,3.03,16471
8.2,59,3.03,16219
8.4,56,3.03,16839
8.6,56,3.03,17024
8.3,54,3.03,17704
8.0,54,3.03,17928
7.7,54,3.03,18105
7.2,54,3.03,18081
6.9,55,3.03,18151
7.0,54,3.03,18166
6.7,55,3.03,18094
6.6,56,3.03,18100
6.5,56,3.03,17985
6.0,58,3.03,17734
5.6,58,3.03,17737
5.4,59,3.03,17584
5.2,60,3.03,17455
5.0,60,3.03,17407
4.7,61,3.03,17294
4.5,63,3.03,17038
4.5,63,3.03,17031
4.9,62,3.03,17064
5.5,61,3.03,17071
6.4,59,3.03,17163
7.6,57,3.03,17186
8.5,55,3.03,17239
8.5,56,3.03,17103
8.7,55,3.03,17225
7.7,56,3.03,17226
7.2,57,3.03,17247
6.8,58,3.03,17327
6.6,58,3.03,17307
6.4,58,3.03,17362
6.0,59,3.03,17343
6.0,59,3.03,17310
5.9,60,3.03,17218
5.7,60,3.03,17116
5.4,61,3.03,17111
5.1,61,3.03,17080
5.0,62,3.03,17030
4.9,62,3.03,17024
4.8,62,3.03,17022
4.6,63,3.03,16988
4.6,63,3.03,16948
4.8,63,3.03,16912
5.3,62,3.03,16861
6.0,61,3.03,16662
6.7,60,3.03,16734
6.5,62,3.03,16245
6.7,62,3.03,16188
7.0,60,3.03,16512
7.2,59,3.03,16736
7.3,58,3.03,16741
7.4,58,3.03,16805
7.6,59,3.03,16578
7.6,59,3.03,16577
7.7,59,3.03,16528
7.9,58,3.03,16605
7.9,58,3.03,16587
7.9,58,3.03,16528
7.9,58,3.03,16478
8.0,58,3.03,16506
8.1,58,3.03,16433
8.1,58,3.03,16538
8.1,59,3.03,16307
8.1,59,3.03,16161
8.2,60,3.03,16006
8.1,61,3.03,15682
8.2,61,3.03,15743
8.3,60,3.03,15776
8.6,60,3.03,15744
8.9,60,3.03,15678
9.1,60,3.03,15664
9.2,60,3.03,15624
9.3,61,3.03,15224
9.3,60,3.03,15578
9.2,60,3.03,15544
9.2,59,3.03,15810
9.2,59,3.03,15832
9.2,59,3.03,15726
9.3,59,3.03,15702
9.3,59,3.03,15768
9.3,59,3.03,15770
9.3,59,3.03,15834
9.3,59,3.03,15736
9.2,60,3.03,15676
9.1,60,3.03,15476
8.9,61,3.03,15402
8.7,62,3.03,15219
8.5,63,3.03,15102
8.3,63,3.03,15248
8.0,63,3.03,15340
7.8,62,3.03,15517
7.8,62,3.03,15488
7.7,63,3.03,15392
7.7,63,3.03,15464
7.7,63,3.03,15504
7.7,63,3.03,15535
7.6,62,3.03,15577
7.5,62,3.03,15605
7.4,63,3.03,15496
7.3,63,3.03,15496
7.2,64,3.03,15478
7.1,64,3.03,15526
7.0,64,3.03,15517
6.9,64,3.03,15504
6.8,64,3.03,15488
6.8,64,3.03,15620
6.7,64,3.03,15513
6.6,64,3.03,15634
6.5,65,3.03,15493
6.3,64,3.03,15740
6.2,64,3.03,15765
6.3,64,3.03,15759
6.3,64,3.03,15736
6.3,64,3.03,15684
6.2,65,3.03,15608
6.3,65,3.03,15583
6.3,65,3.03,15502
6.6,64,3.03,15556
6.5,65,3.03,15449
6.5,65,3.03,15470
6.5,65,3.03,15486
6.4,65,3.03,15416
6.4,66,3.03,15341
6.3,66,3.03,15328
6.2,66,3.03,15357
6.3,65,3.03,15482
6.2,66,3.03,15399
6.2,66,3.03,15440
6.2,66,3.03,15417
6.0,66,3.03,15400
6.2,66,3.03,15398
6.2,65,3.03,15581
6.1,66,3.03,15476
6.0,66,3.03,15486
6.0,66,3.03,15521
5.8,66,3.03,15573
5.7,66,3.03,15688
5.6,66,3.03,15770
5.6,66,3.03,15753
5.8,65,3.03,15690
6.0,65,3.03,15695
6.3,65,3.03,15576
6.5,65,3.03,15575
6.6,65,3.03,15537
6.7,64,3.03,15549
6.7,64,3.03,15569
6.6,64,3.03,15554
6.5,65,3.03,15515
6.4,65,3.03,15491
6.3,66,3.03,15454
6.3,66,3.03,15388
6.2,66,3.03,15405
6.2,66,3.03,15364
6.0,66,3.03,15382
5.8,67,3.03,15239
5.7,67,3.03,15311
5.7,69,3.03,14918
5.7,68,3.03,15207
5.6,67,3.03,15332
5.5,67,3.03,15418
5.5,68,3.03,15296
5.4,68,3.03,15194
5.5,67,3.03,15427
5.8,67,3.03,15245
6.1,66,3.03,15312
6.5,66,3.03,15385
6.9,64,3.03,15441
7.3,64,3.03,15425
8.0,63,3.03,15320
7.9,62,3.03,15452
7.4,64,3.03,15458
7.1,64,3.03,15351
7.1,64,3.03,15468
6.9,65,3.03,15281
6.7,65,3.03,15358
6.7,66,3.03,15216
6.6,66,3.03,15256
6.6,65,3.03,15438
6.7,65,3.03,15359
6.7,65,3.03,15400
6.7,65,3.03,15465
6.5,65,3.03,15356
6.4,65,3.03,15456
6.5,66,3.03,15344
6.5,66,3.03,15343
6.4,66,3.03,15235
6.5,66,3.03,15140
6.8,66,3.03,15139
7.8,65,3.03,14884
8.8,61,3.03,15382
9.3,60,3.03,15510
9.4,60,3.03,15544
10.4,56,3.03,15994
10.0,58,3.03,15879
9.4,58,3.03,15926
8.9,60,3.03,15622
8.8,60,3.03,15542
8.6,61,3.03,15653
8.4,60,3.03,15680
8.4,59,3.03,16066
8.2,60,3.03,15992
8.2,61,3.03,15726
8.2,60,3.03,16010
8.0,60,3.03,15987
7.7,61,3.03,15964
7.6,60,3.03,16140
7.4,61,3.03,16127
7.2,62,3.03,15999
7.0,62,3.03,15972
6.9,64,3.03,15694
6.9,64,3.03,15699
7.1,63,3.03,15783
8.1,61,3.03,15856
9.2,58,3.03,16064
10.0,58,3.03,15704
10.4,59,3.03,15366
10.7,58,3.03,15596
10.6,58,3.03,15588
10.5,60,3.03,15057
10.4,58,3.03,15364
10.2,60,3.03,15120
10.2,58,3.03,15525
10.1,58,3.03,15544
10.1,58,3.03,15560
10.3,57,3.03,15970
10.4,58,3.03,15662
10.5,58,3.03,15560
10.7,59,3.03,15160
10.9,59,3.03,15032
11.0,58,3.03,15245
11.2,57,3.03,15561
11.2,56,3.03,15686
11.2,56,3.03,15662
11.2,56,3.03,15653
11.4,55,3.03,15933
11.9,55,3.03,15781
12.7,54,3.03,15733
13.5,53,3.03,15691
14.3,52,3.03,15785
14.4,53,3.03,15317
14.2,53,3.03,15484
14.0,54,3.03,15268
13.8,54,3.03,15262
13.5,53,3.03,15732
13.1,54,3.03,15664
12.9,55,3.03,15546
12.7,54,3.03,15664
12.4,56,3.03,15412
12.3,54,3.03,15818
12.1,54,3.03,15858
12.1,54,3.03,15984
12.1,54,3.03,16075
12.0,55,3.03,15788
11.9,54,3.03,15942
11.9,54,3.03,16228
11.8,54,3.03,16037
11.6,56,3.03,15663
11.5,56,3.03,15571
11.7,54,3.03,16034
12.0,54,3.03,16092
12.7,54,3.03,15900
13.5,53,3.03,15694
14.0,51,3.03,16095
14.5,50,3.03,16237
14.4,52,3.03,15814
14.1,50,3.03,16464
13.6,51,3.03,16326
13.1,52,3.03,16178
12.8,54,3.03,15772
12.5,54,3.03,15790
12.3,54,3.03,15776
11.9,54,3.03,15827
11.7,53,3.03,16356
11.4,54,3.03,16110
11.1,55,3.03,16112
10.9,57,3.03,15784
10.5,56,3.03,16024
10.7,56,3.03,16074
10.8,56,3.03,15867
10.6,57,3.03,15722
10.5,56,3.03,15939
10.3,56,3.03,16192
10.1,54,3.03,16787
10.7,55,3.03,16294
11.3,54,3.03,16154
12.0,54,3.03,15890
12.7,54,3.03,15786
12.5,53,3.03,16085
12.2,52,3.03,16729
11.9,54,3.03,16134
11.6,52,3.03,16650
11.4,53,3.03,16448
11.4,55,3.03,16014
11.3,56,3.03,15636
11.1,56,3.03,15698
10.6,56,3.03,16208
10.5,54,3.03,16512
10.2,55,3.03,16511
9.8,55,3.03,16526
9.5,58,3.03,15757
9.5,61,3.03,15172
9.1,62,3.03,15066
8.8,62,3.03,15034
8.3,64,3.03,15071
7.8,64,3.03,15158
7.5,64,3.03,15157
7.7,64,3.03,15070
8.1,64,3.03,15036
8.4,64,3.03,14978
9.6,60,3.03,15359
11.0,54,3.03,16167
11.0,56,3.03,15913
11.0,56,3.03,15940
11.0,55,3.03,16153
11.0,53,3.03,16892
10.9,52,3.03,17067
10.7,54,3.03,16647
10.7,52,3.03,16997
10.6,52,3.03,17096
10.5,54,3.03,16608
10.4,56,3.03,16132
10.3,57,3.03,15942
10.1,60,3.03,15186
9.9,60,3.03,15155
9.8,59,3.03,15506
9.7,58,3.03,15870
9.5,56,3.03,16408
9.4,58,3.03,15956
9.3,59,3.03,15831
9.2,57,3.03,16355
9.3,56,3.03,16452
9.7,60,3.03,15514
10.1,58,3.03,15507
10.9,54,3.03,16480
11.6,54,3.03,16328
12.6,56,3.03,15184
12.3,56,3.03,15178
12.3,55,3.03,15482
12.1,55,3.03,15659
11.8,56,3.03,15536
11.6,56,3.03,15508
11.3,58,3.03,15282
11.0,58,3.03,15343
10.9,58,3.03,15330
10.7,58,3.03,15470
10.5,58,3.03,15541
10.3,57,3.03,15961
10.2,58,3.03,15790
10.0,58,3.03,15612
9.9,58,3.03,15523
9.8,59,3.03,15480
9.6,59,3.03,15678
9.4,59,3.03,15729
9.1,58,3.03,16071
9.0,57,3.03,16344
8.8,59,3.03,15951
8.7,58,3.03,16291
8.8,58,3.03,16081
8.7,60,3.03,15867
8.7,60,3.03,15703
8.5,59,3.03,16104
8.4,60,3.03,15998
8.3,60,3.03,15838
8.0,62,3.03,15706
7.5,62,3.03,15613
7.3,64,3.03,15416
7.1,64,3.03,15279
6.9,65,3.03,15342
6.5,65,3.03,15388
6.4,66,3.03,15329
6.1,66,3.03,15287
5.9,67,3.03,15266
5.4,67,3.03,15468
5.1,68,3.03,15469
5.0,68,3.03,15276
4.9,69,3.03,15285
4.9,69,3.03,15277
4.7,70,3.03,15266
4.4,70,3.03,15364
4.5,70,3.03,15260
