landX2,popX1,physY,incX3
3384,7387,5627,82100
3069,6031,1389,52737
3719,6017,3326,54542 
3553,5794,9724,33216  
3916,5370,6402,32906
2480,4182,8502,26573
3815,6033,7340,25663
4218,8688,5255,31524
4360,6673,4047,18350
4794,4512,4562,18221
4935,4380,4071,16120 
3049,5294,4005,15826
2259,5147,5141,14246
4647,2037,3916,14542 
1008,3969,4006,15953
1519,3950,4094,14684
4326,2832,3064,12107
3282,2801,3119,12591 
5261,2683,3396,10392
5651,3464,3380,10375
2042,1441,4071,10166
4226,3427,3285,10918
1456,1427,2484,10104
2045,1380,1949,7989
2149,1375,2530,9037
1590,1313,2296,8411
2729,1306,2018,7399
3341,1293,2289,9106
4155,1254,2280,7766
1300,1217,2794,9215
3072,1144,2181,7736
7967,1133,2520,7038
3650,1121,2358,7792
2460,1087,1874,6658
2527,1025,1760,5582
2966,970,2053,6966
3434,929,1844,5909
1392,883,1579,5705
2298,886,1644,5185
1219,864,1396,5879
1708,833,1062,5489
4565,822,1604,4655
3358,805,1649,4941
2624,794,1532,5094
2187,777,1098,5142
3214,774,1285,4924
3491,769,1496,4798
4080,773,1597,4600
3960,723,1260,5181
3199,694,983,4127
3030,661,948,4102
2419,647,1250,3860
2138,644,614,4177
1951,629,696,3667
1490,624,827,4144
5677,610,760,4035
1525,597,751,3777
2528,593,798,3489
2312,594,769,4352
1537,581,1234,3725
1420,576,833,3553
3247,564,745,3915
1023,541,639,3437
2115,526,676,2962
1182,514,518,3627
1165,516,746,3724
2476,492,787,3603
1553,487,2207,2991
2023,477,752,3283
2766,474,679,2598
2966,472,737,3007
3863,468,674,2747
3092,462,617,3158
2240,455,1123,2598
2277,455,512,2853
3630,449,724,2445
1617,435,518,2617
3057,435,479,2012
1624,429,832,2885
1676,423,505,2689
2818,425,540,2162
2866,408,427,1987
3883,402,873,2353
1096,401,427,2446
2109,403,520,2308
2449,395,681,2651
2618,385,836,1992
1465,374,598,2201
1704,375,379,2662
3750,370,446,2439
1489,369,911,2264
4152,363,405,2257
2207,364,356,2331
3874,360,398,2410
2055,364,425,2088
1803,362,483,2666
2363,356,565,1996
1435,352,342,2165
1046,348,366,2178
1136,333,448,2396
2658,327,365,1862
2208,317,667,2264
3758,310,565,1939
3198,313,1171,2038
1412,311,436,2098
2071,306,470,1782
2062,302,423,2010
1526,303,413,1692
1758,297,296,1641
1651,296,774,1724
1493,294,863,1787
1610,294,471,1851
2710,288,357,1639
1975,291,405,1853
1920,291,283,1553
1404,289,299,1776
2737,287,602,1980
1700,287,739,1616
2209,277,307,1762
1858,277,354,1507
3324,275,373,1918
1697,274,338,1354
2213,272,293,1688
4397,267,355,1654
1165,268,450,1719
2202,268,392,1816
1770,268,285,1537
1495,264,220,1661
1255,261,458,1725
1148,589,891,3510
1509,643,1087,3982
1913,254,273,1412
1711,250,1411,1790
1771,251,219,1458
1552,249,329,1386
1400,242,290,1351
1211,296,348,1452
1243,292,159,769
1011,293,264,1337
1813,292,371,1589
1654,291,140,1148
